index,Litres
0,52067.3085920405
1,91185.90014880264
2,47961.24503494557
3,27149.412757673395
4,32576.64521217314
5,80991.62658614176
6,34989.76369562333
7,27189.759230991927
8,92331.64820067132
9,27557.17884835165
10,27149.412757673395
11,52488.02910645586
12,26511.343513936627
13,44532.310995129534
14,27980.010905903575
15,47592.414517175115
16,25375.796138902602
17,63213.581915391165
18,39714.89952840835
19,25684.248584723027
20,45942.49368270526
21,40370.760490441724
22,32798.45154897413
23,59184.68474358252
24,31157.034580477633
25,29361.34711582731
26,41024.8845473903
27,83538.69107996454
28,28638.47991405318
29,88113.70607840839
30,33713.866631995814
31,38189.689226923336
32,70595.47565710664
33,26466.20408525553
34,25482.668591705267
35,36343.95609332362
36,106446.04469871413
37,36656.344337701164
38,31448.10726353934
39,49773.04717361362
40,27193.985369611288
41,25978.37138015218
42,140477.88550900132
43,55759.561686620335
44,33040.6180620581
45,55151.47212552291
46,27537.916124402247
47,28258.340698252312
48,47978.83628560923
49,29915.072320279396
50,32026.245640259087
51,90761.1147916823
52,29840.070649668934
53,26002.011983617835
54,160986.67416630127
55,35879.832817992305
56,43797.97952732943
57,47810.24228144133
58,26694.55623392595
59,31450.870057815824
60,70963.92306010706
61,25617.63030347797
62,79434.44686848375
63,32053.89489639459
64,28081.31248419483
65,52639.30463875782
66,26511.343513936627
67,60395.410454952835
68,107215.57930886128
69,25438.09597976737
70,53506.78628791695
71,136420.84904606745
72,41134.5967356854
73,44841.36231130628
74,116844.85873186556
75,31753.23804612584
76,27778.666034017442
77,99351.33795605661
78,27819.01250733598
79,32920.915845608484
80,93234.37881455832
81,36912.912909833234
82,53301.30472545358
83,53845.17653614268
84,26322.317828459796
85,26918.007441057598
86,112671.54314672749
87,29325.7929179846
88,33611.29958686372
89,35690.69514179052
90,37691.34975036528
91,37054.841061645995
92,46249.06376389344
93,25438.09597976737
94,85065.5101778474
95,27568.09993046403
96,25781.58706619966
97,60267.49820706153
98,28572.886448632325
99,30634.99246726141
100,25482.668591705267
101,66359.5424964877
102,32566.570507799075
103,30012.51114252363
104,73399.77221889606
105,26673.16438344364
106,32772.25512571569
107,52356.53288201503
108,44530.199637663165
109,26322.317828459796
110,34891.90949264
111,53938.05023386851
112,33893.655324297186
113,39475.64357185035
114,25482.668591705267
115,46407.10031072483
